URI,skos:prefLabel,skos:definition,skos:broader,skos:notation
https://vocabularies.dans.knaw.nl/collections/ssh/AnansiMasters,Anansi Masters,Thematic collection: Anansi Masters - Documentation,https://vocabularies.dans.knaw.nl/collections/Project,AnansiMasters
https://vocabularies.dans.knaw.nl/collections/ssh/AnnaStilleStrijd,GV: Anna's stille strijd: doven in de oorlog,"Thematische collectie: Erfgoed van de Oorlog, Getuigen Verhalen, Project 'Anna's stille strijd: doven in de oorlog'",https://vocabularies.dans.knaw.nl/collections/ssh/ErfgoedOorlog,AnnaStilleStrijd
https://vocabularies.dans.knaw.nl/collections/ssh/BGES,Belgium General Election Study,Thematic collection: Belgium General Election Study,https://vocabularies.dans.knaw.nl/collections/Project,BGES
https://vocabularies.dans.knaw.nl/collections/ssh/BoerinnenBoerendochtersWO2,GV: Boerinnen en boerendochters in de Tweede Wereldoorlog,"Thematische collectie: Erfgoed van de Oorlog, Getuigen Verhalen, Project 'Boerinnen en boerendochters in de Tweede Wereldoorlog'",https://vocabularies.dans.knaw.nl/collections/ssh/ErfgoedOorlog,BoerinnenBoerendochtersWO2
https://vocabularies.dans.knaw.nl/collections/ssh/BystanderMemories,GV: Bystander Memories,"Thematische collectie: Erfgoed van de Oorlog, Bystander memories",https://vocabularies.dans.knaw.nl/collections/ssh/ErfgoedOorlog,BystanderMemories
https://vocabularies.dans.knaw.nl/collections/ssh/CBS,Beveiligde microbestanden CBS,Thematische collectie: Beveiligde microbestanden CBS en over de toegang tot CBS data,https://vocabularies.dans.knaw.nl/collections/Organization,CBS
https://vocabularies.dans.knaw.nl/collections/ssh/CIDT-AWF,Data from the Center for Intercultural Dialogue and Translation (CIDT) and Stichting Arab West Foundation (AWF),Thematic collection: Data from the Center for Intercultural Dialogue and Translation (CIDT) and Stichting Arab West Foundation (AWF),https://vocabularies.dans.knaw.nl/collections/Organization,CIDT-AWF
https://vocabularies.dans.knaw.nl/collections/ssh/CILSNL,Children of Immigrants Longitudinal Survey in the Netherlands (CILSNL) - Wave 1,Thematic Collection: Children of Immigrants Longitudinal Survey in the Netherlands (CILSNL),https://vocabularies.dans.knaw.nl/collections/Project,CILSNL
https://vocabularies.dans.knaw.nl/collections/ssh/COB,Continu Onderzoek Burgerperspectieven,Thematische collectie: Continu Onderzoek Burgerperspectieven (COB),https://vocabularies.dans.knaw.nl/collections/Project,COB
https://vocabularies.dans.knaw.nl/collections/ssh/COOL,COOL,"Thematische collectie: COOL5-18, Pre-COOL en COOLspeciaal",https://vocabularies.dans.knaw.nl/collections/Project,COOL
https://vocabularies.dans.knaw.nl/collections/ssh/CV-SLI,Culturele Veranderingen in Nederland (CV) en SCP Leefsituatie Index (SLI),Thematische collectie: Culturele Veranderingen in Nederland (CV) en SCP Leefsituatie Index (SLI),https://vocabularies.dans.knaw.nl/collections/Project,CV-SLI
https://vocabularies.dans.knaw.nl/collections/ssh/DairyChainEthiopia,Dairy chain data Ethiopia,Thematic collection: Dairy chain data Ethiopia,https://vocabularies.dans.knaw.nl/collections/Project,DairyChainEthiopia
https://vocabularies.dans.knaw.nl/collections/ssh/Diederichs,GV: Diederichs,"Thematische collectie: Erfgoed van de Oorlog, Collectie Diederichs",https://vocabularies.dans.knaw.nl/collections/ssh/ErfgoedOorlog,Diederichs
https://vocabularies.dans.knaw.nl/collections/ssh/DNOO,Data Nederlands Onderwijsonderzoek,Thematische collectie: Data Nederlands Onderwijsonderzoek,https://vocabularies.dans.knaw.nl/collections/Project,DNOO
https://vocabularies.dans.knaw.nl/collections/ssh/DochtersFouteOuders,GV: Dochters van foute ouders,"Thematische collectie: Erfgoed van de Oorlog, Getuigen Verhalen, Project 'Dochters van foute ouders'",https://vocabularies.dans.knaw.nl/collections/ssh/ErfgoedOorlog,DochtersFouteOuders
https://vocabularies.dans.knaw.nl/collections/ssh/Dodenmars1945,GV: Negen vrouwen ontsnapt uit dodenmars 1945,"Thematische collectie: Erfgoed van de Oorlog, Getuigen Verhalen, Project 'Negen vrouwen ontsnapt uit dodenmars 1945'",https://vocabularies.dans.knaw.nl/collections/ssh/ErfgoedOorlog,Dodenmars1945
https://vocabularies.dans.knaw.nl/collections/ssh/ErfgoedOorlog,Erfgoed van de Oorlog,Thematische collectie: Erfgoed van de Oorlog,https://vocabularies.dans.knaw.nl/collections/Project,ErfgoedOorlog
https://vocabularies.dans.knaw.nl/collections/ssh/EvaluatiePassendOnderwijs,Evaluatie Passend Onderwijs,Thematische collectie: Evaluatie Passend Onderwijs,https://vocabularies.dans.knaw.nl/collections/Project,EvaluatiePassendOnderwijs
https://vocabularies.dans.knaw.nl/collections/ssh/HerinneringenIndie,Herinneringen aan Indie,Thematische collectie 'Herinneringen aan Indië',https://vocabularies.dans.knaw.nl/collections/Project,HerinneringenIndie
https://vocabularies.dans.knaw.nl/collections/ssh/InspectieOnderwijs,Data van de Inspectie van het Onderwijs,Thematische collectie: Data van de Inspectie van het Onderwijs,https://vocabularies.dans.knaw.nl/collections/Organization,InspectieOnderwijs
https://vocabularies.dans.knaw.nl/collections/ssh/IPNV,Nederlandse Veteranen,Thematische collectie: Interviewproject Nederlandse Veteranen - IPNV,https://vocabularies.dans.knaw.nl/collections/Project,IPNV
https://vocabularies.dans.knaw.nl/collections/ssh/IPNVworkbench,Living Oral History Workbench,Thematische collectie: Living Oral History Workbench: Interviewproject Nederlandse Veteranen (IPNV),https://vocabularies.dans.knaw.nl/collections/Project,IPNVworkbench
https://vocabularies.dans.knaw.nl/collections/ssh/IstoriManokwari,Istori Manokwari,Thematische Collectie: Istori Manokwari,https://vocabularies.dans.knaw.nl/collections/Project,IstoriManokwari
https://vocabularies.dans.knaw.nl/collections/ssh/JavananDiaspora,Javanen in Diaspora,Thematische collectie: interviewproject Javanen in Diaspora,https://vocabularies.dans.knaw.nl/collections/Project,JavananDiaspora
https://vocabularies.dans.knaw.nl/collections/ssh/KampAmersfoort,Kamp Amersfoort,Thematische collectie: Kamp Amersfoort,https://vocabularies.dans.knaw.nl/collections/Project,KampAmersfoort
https://vocabularies.dans.knaw.nl/collections/ssh/KampHoopWanhoop,Kamp van Hoop en Wanhoop,"Thematische collectie: Kamp van Hoop en Wanhoop, Getuigen van Westerbork, 1939-1945",https://vocabularies.dans.knaw.nl/collections/Project,KampHoopWanhoop
https://vocabularies.dans.knaw.nl/collections/ssh/KNIL,GV: Gerepatrieerde vrouwen van Molukse KNIL militairen,"Thematische collectie: Erfgoed van de Oorlog, Getuigen Verhalen, Project 'Gerepatrieerde vrouwen van Molukse KNIL militairen'",https://vocabularies.dans.knaw.nl/collections/ssh/ErfgoedOorlog,KNIL
https://vocabularies.dans.knaw.nl/collections/ssh/KoopvaardijgezinnenOorlogstijd,GV: Koopvaardijgezinnen in Oorlogstijd,"Thematische collectie: Erfgoed van de Oorlog, Getuigen Verhalen, Project 'Koopvaardijgezinnen in Oorlogstijd'",https://vocabularies.dans.knaw.nl/collections/ssh/ErfgoedOorlog,KoopvaardijgezinnenOorlogstijd
https://vocabularies.dans.knaw.nl/collections/ssh/kunstkunde,Kwalitatieve analyse: kunst en kunde,Thematische collectie: Kwalitatieve analyse: kunst én kunde,https://vocabularies.dans.knaw.nl/collections/Project,kunstkunde
https://vocabularies.dans.knaw.nl/collections/ssh/LichtBevrijding,In het licht van de bevrijding,Thematische collectie: Project 'In het licht van de bevrijding',https://vocabularies.dans.knaw.nl/collections/Project,LichtBevrijding
https://vocabularies.dans.knaw.nl/collections/ssh/LISSImmigrantPanelData,LISS immigrant panel data,Thematic collection: LISS immigrant panel data - overview of available LISS Studies 2010 – 2014,https://vocabularies.dans.knaw.nl/collections/Project,LISSImmigrantPanelData
https://vocabularies.dans.knaw.nl/collections/ssh/LISSPanelData,LISS panel data,"Thematic collection: LISS panel data - overview of available LISS Studies,2007 - ongoing",https://vocabularies.dans.knaw.nl/collections/Project,LISSPanelData
https://vocabularies.dans.knaw.nl/collections/ssh/MijnAmsterdamseBroertje,GV: Herinneringen aan mijn Amsterdamse zusje/broertje,"Thematische collectie: Erfgoed van de Oorlog, Getuigen Verhalen, Project 'Herinneringen aan mijn Amsterdamse zusje/broertje'",https://vocabularies.dans.knaw.nl/collections/ssh/ErfgoedOorlog,MijnAmsterdamseBroertje
https://vocabularies.dans.knaw.nl/collections/ssh/NarratedInjustice,Narrated Injustice,Thematische collectie: Narrated injustice,https://vocabularies.dans.knaw.nl/collections/Project,NarratedInjustice
https://vocabularies.dans.knaw.nl/collections/ssh/NationaleKiezersonderzoeken,Nationale Kiezersonderzoeken,Thematische collectie: Nationale Kiezersonderzoeken vanaf 1971,https://vocabularies.dans.knaw.nl/collections/Project,NationaleKiezersonderzoeken
https://vocabularies.dans.knaw.nl/collections/ssh/NederlandseSS,GV: Nederlandse SS'ers,"Thematische collectie: Erfgoed van de Oorlog, Getuigen Verhalen, Project 'Nederlandse SS'ers'",https://vocabularies.dans.knaw.nl/collections/ssh/ErfgoedOorlog,NederlandseSS
https://vocabularies.dans.knaw.nl/collections/ssh/NIPO,NIPO weekpeilingen 1962-2000,"Thematische collectie: NIPO weekpeilingen 1962-2000,NIPO opinion polls 1962-2000",https://vocabularies.dans.knaw.nl/collections/Project,NIPO
https://vocabularies.dans.knaw.nl/collections/ssh/NSBVrouwen,GV: NSB vrouwen in de oorlog,"Thematische collectie: Erfgoed van de Oorlog, Getuigen Verhalen, Project 'NSB vrouwen in de oorlog'",https://vocabularies.dans.knaw.nl/collections/ssh/ErfgoedOorlog,NSBVrouwen
https://vocabularies.dans.knaw.nl/collections/ssh/NSBWesterbork,GV: NSB'ers in Westerbork,"Thematische collectie: Erfgoed van de Oorlog, Getuigen Verhalen, Project 'NSB'ers in Westerbork'",https://vocabularies.dans.knaw.nl/collections/ssh/ErfgoedOorlog,NSBWesterbork
https://vocabularies.dans.knaw.nl/collections/ssh/NSCR,NSCR,Thematische collectie - NSCR - Netherlands Institute for the Study of Crime and Law Enforcement (NSCR) – selection of metadata NSCR datasets,https://vocabularies.dans.knaw.nl/collections/Project,NSCR
https://vocabularies.dans.knaw.nl/collections/ssh/OngekendBijzonder,Ongekend Bijzonder,Thematische collectie: Ongekend Bijzonder - Oral History project,https://vocabularies.dans.knaw.nl/collections/Project,OngekendBijzonder
https://vocabularies.dans.knaw.nl/collections/ssh/OON,Onderzoek Onderweg in Nederland,"Thematische collectie: Onderzoek Onderweg in Nederland,ODiN/OViN/MON/OVG,ODiN/OViN/MON/OVG",https://vocabularies.dans.knaw.nl/collections/Project,OON
https://vocabularies.dans.knaw.nl/collections/ssh/PapuasDiaspora,GV: Papua's in diaspora,"Thematische collectie: Erfgoed van de Oorlog, Getuigen Verhalen, Project 'Papua's in diaspora'",https://vocabularies.dans.knaw.nl/collections/ssh/ErfgoedOorlog,PapuasDiaspora
https://vocabularies.dans.knaw.nl/collections/ssh/PoliticalMashup,PoliticalMashup and Dutch Parliamentary Proceedings 1814-2013,Thematic collection: PoliticalMashup and Dutch Parliamentary Proceedings 1814-2013,https://vocabularies.dans.knaw.nl/collections/Project,PoliticalMashup
https://vocabularies.dans.knaw.nl/collections/ssh/PRIMACohorten,PRIMA Cohorten,Thematische collectie: PRIMA Cohorten (Speciaal) Basisonderwijs,https://vocabularies.dans.knaw.nl/collections/Project,PRIMACohorten
https://vocabularies.dans.knaw.nl/collections/ssh/ReisRazzia,GV: Reis van de Razzia,"Thematische collectie: Erfgoed van de Oorlog, Getuigen Verhalen, Project 'Reis van de Razzia'",https://vocabularies.dans.knaw.nl/collections/ssh/ErfgoedOorlog,ReisRazzia
https://vocabularies.dans.knaw.nl/collections/ssh/RetourtjeSachsenhausen,GV: Retourtje Sachsenhausen,"Thematische collectie: Erfgoed van de Oorlog, Getuigen Verhalen, Project 'Retourtje Sachsenhausen'",https://vocabularies.dans.knaw.nl/collections/ssh/ErfgoedOorlog,RetourtjeSachsenhausen
https://vocabularies.dans.knaw.nl/collections/ssh/Schoolverlatersonderzoeken,Schoolverlatersonderzoeken,Thematische collectie: Schoolverlatersonderzoeken,https://vocabularies.dans.knaw.nl/collections/Project,Schoolverlatersonderzoeken
https://vocabularies.dans.knaw.nl/collections/ssh/SMGI,Interviewcollectie Stichting Mondelinge Geschiedenis Indonesië,Thematische collectie: Interviewcollectie Stichting Mondelinge Geschiedenis Indonesië,https://vocabularies.dans.knaw.nl/collections/Project,SMGI
https://vocabularies.dans.knaw.nl/collections/ssh/SOCON,Social and Cultural Developments in the Netherlands,"Thematic collection: Social and Cultural Developments in the Netherlands,SOCON,SOCON",https://vocabularies.dans.knaw.nl/collections/Project,SOCON
https://vocabularies.dans.knaw.nl/collections/ssh/SpirituatiteitMaatschappelijkeVernieuwing,Spiritualiteit en Maatschappelijke Vernieuwing,Thematische collectie - project Spiritualiteit en Maatschappelijke Vernieuwing,https://vocabularies.dans.knaw.nl/collections/Project,SpirituatiteitMaatschappelijkeVernieuwing
https://vocabularies.dans.knaw.nl/collections/ssh/StatusAttainment-Study6,Status Attainment in the Netherlands 1811-1941 - Study 6,Thematische collectie: Status Attainment in the Netherlands 1811-1941 - Study 6,https://vocabularies.dans.knaw.nl/collections/Project,StatusAttainment-Study6
https://vocabularies.dans.knaw.nl/collections/ssh/TwaalfdeVolkstelling,12de volkstelling 31 mei 1947,"Thematic collection: 12th population census 31 may 1947,Thematische collectie: 12de volkstelling 31 mei 1947,Thematische collectie: 12de volkstelling 31 mei 1947",https://vocabularies.dans.knaw.nl/collections/Project,TwaalfdeVolkstelling
https://vocabularies.dans.knaw.nl/collections/ssh/UwWilGeschiede,Uw wil geschiede,"Thematische Collectie: Uw wil geschiede, Kinderen op katholieke kostscholen,Getuigenissen van oud-leerlingen die tussen 1945 en 1970 op een katholieke kostschool in Nederland zaten",https://vocabularies.dans.knaw.nl/collections/Project,UwWilGeschiede
https://vocabularies.dans.knaw.nl/collections/ssh/VarenKoninginVaderland,GV: Verplicht varen voor Koningin en Vaderland,"Thematische collectie: Erfgoed van de Oorlog, Getuigen Verhalen, Project 'Verplicht varen voor Koningin en Vaderland'",https://vocabularies.dans.knaw.nl/collections/ssh/ErfgoedOorlog,VarenKoninginVaderland
https://vocabularies.dans.knaw.nl/collections/ssh/VergetenBombardement,GV: Het vergeten bombardement (Rotterdam 31 maart 1943),"Thematische collectie: Erfgoed van de Oorlog, Getuigen Verhalen, Project 'Het vergeten bombardement (Rotterdam 31 maart 1943)'",https://vocabularies.dans.knaw.nl/collections/ssh/ErfgoedOorlog,VergetenBombardement
https://vocabularies.dans.knaw.nl/collections/ssh/VerkrachtingTroost,GV: Verkrachting en Troost,"Thematische collectie: Erfgoed van de Oorlog, Getuigen Verhalen, Project 'Verkrachting en Troost'",https://vocabularies.dans.knaw.nl/collections/ssh/ErfgoedOorlog,VerkrachtingTroost
https://vocabularies.dans.knaw.nl/collections/ssh/VluchtenOverloon,GV: Vluchten uit Overloon op last van de bezetter,"Thematische collectie: Erfgoed van de Oorlog, Getuigen Verhalen, Project 'Vluchten uit Overloon op last van de bezetter'",https://vocabularies.dans.knaw.nl/collections/ssh/ErfgoedOorlog,VluchtenOverloon
https://vocabularies.dans.knaw.nl/collections/ssh/VluchtenVenray,GV: Vluchten uit Venray op aandrang van Brits Gezag,"Thematische collectie: Erfgoed van de Oorlog, Getuigen Verhalen, Project 'Vluchten uit Venray op aandrang van Brits Gezag'",https://vocabularies.dans.knaw.nl/collections/ssh/ErfgoedOorlog,VluchtenVenray
https://vocabularies.dans.knaw.nl/collections/ssh/volkstellingen,Volkstellingen 1795-1971,"Thematic collection: Dutch censuses 1795-1971,Thematische collectie: Volkstellingen 1795-1971",https://vocabularies.dans.knaw.nl/collections/Project,volkstellingen
https://vocabularies.dans.knaw.nl/collections/ssh/VrouwenBesluitvorming,Vrouwen in Besluitvorming,Thematische collectie: Vrouwen in besluitvorming,https://vocabularies.dans.knaw.nl/collections/Project,VrouwenBesluitvorming
https://vocabularies.dans.knaw.nl/collections/ssh/VrouwenCPN,GV: Vrouwen van de CPN,"Thematische collectie: Erfgoed van de Oorlog, Getuigen Verhalen, Project 'Vrouwen van de CPN'",https://vocabularies.dans.knaw.nl/collections/ssh/ErfgoedOorlog,VrouwenCPN
https://vocabularies.dans.knaw.nl/collections/ssh/WillyLindwer,Het Willy Lindwer Holocaust Video Archief,"Thematische collectie: Erfgoed van de Oorlog, Het Willy Lindwer Holocaust Video Archief",https://vocabularies.dans.knaw.nl/collections/ssh/ErfgoedOorlog,WillyLindwer
https://vocabularies.dans.knaw.nl/collections/ssh/WOON,Onderzoeken naar de woningmarkt,Thematische collectie: Onderzoeken naar de woningmarkt ( WoON en WBO),https://vocabularies.dans.knaw.nl/collections/Project,WOON
https://vocabularies.dans.knaw.nl/collections/ssh/WUR,Wageningen UR research,Thematic collection: Datasets of Wageningen UR research (WUR),https://vocabularies.dans.knaw.nl/collections/Organization,WUR
https://vocabularies.dans.knaw.nl/collections/ssh/Zoonosen,Onderhandelen over zoönosen in Nederland,Thematische Collectie: Onderhandelen over zoönosen in Nederland (1898-2001),https://vocabularies.dans.knaw.nl/collections/Project,Zoonosen