datasetid,doi
easy-dataset:39570,10.17026/dans-x6j-xz6u
easy-dataset:48786,10.17026/dans-zwe-6qtu
easy-dataset:32809,10.17026/dans-xpk-9cxf
easy-dataset:48213,10.17026/dans-xe5-4qyy
easy-dataset:45961,10.17026/dans-29j-n5st
easy-dataset:51265,10.17026/dans-znx-88zg
easy-dataset:41923,10.17026/dans-ztn-9ked
easy-dataset:41815,10.17026/dans-zf3-7xry
easy-dataset:33963,10.17026/dans-zk8-fmmj
easy-dataset:41479,10.17026/dans-2aa-nmu2
easy-dataset:41649,10.17026/dans-2x2-rbky
easy-dataset:39563,10.17026/dans-26s-ad52
easy-dataset:62540,10.17026/dans-zw9-synp
easy-dataset:62034,10.17026/dans-zmb-unpv
easy-dataset:67134,10.17026/dans-x2x-prer
easy-dataset:56023,10.17026/dans-267-2y8q
easy-dataset:50715,10.17026/dans-zhv-kdrd
easy-dataset:47424,10.17026/dans-zkt-whqj
easy-dataset:40086,10.17026/dans-xt6-swmq
easy-dataset:31935,10.17026/dans-xem-4pmz
easy-dataset:45087,10.17026/dans-xzg-su4c
easy-dataset:48391,10.17026/dans-zqq-j73p
easy-dataset:49344,10.17026/dans-xkv-hhjj
easy-dataset:34410,10.17026/dans-zcv-uybr
easy-dataset:63818,10.17026/dans-zaq-9tyb
easy-dataset:47571,10.17026/dans-2a6-k5vf
easy-dataset:48516,10.17026/dans-zn2-g34d
easy-dataset:48515,10.17026/dans-xc4-vj4h
easy-dataset:41860,10.17026/dans-zxw-fsxb
easy-dataset:48598,10.17026/dans-znx-9m34
easy-dataset:56024,10.17026/dans-xpg-j2f6
easy-dataset:49584,10.17026/dans-xnk-5b5n
easy-dataset:49061,10.17026/dans-zpb-xqpv
easy-dataset:3429,10.17026/dans-xpc-s9gx
easy-dataset:57096,10.17026/dans-zsf-hzbk
easy-dataset:39552,10.17026/dans-z2f-nkbb
easy-dataset:72960,10.17026/dans-zyw-42wt
easy-dataset:57727,10.17026/dans-zbt-xcck
easy-dataset:75456,10.17026/dans-zuq-ewst
easy-dataset:112362,10.17026/dans-2xj-hqnm
easy-dataset:33699,10.17026/dans-z8r-ruvr
easy-dataset:34380,10.17026/dans-xvx-frex
easy-dataset:115692,10.17026/dans-zku-6324
easy-dataset:41819,10.17026/dans-xe2-qx9s
easy-dataset:50558,10.17026/dans-z7w-kex6
easy-dataset:63285,10.17026/dans-2xf-ttd9
easy-dataset:60865,10.17026/dans-zf7-pm2a
easy-dataset:150176,10.17026/dans-zre-jfds
easy-dataset:65218,10.17026/dans-z9j-x2vy
easy-dataset:57109,10.17026/dans-zzp-pwe4
easy-dataset:112740,10.17026/dans-xgs-btp3
easy-dataset:129227,10.17026/dans-zvv-xtb6
easy-dataset:66097,10.17026/dans-242-ech7
easy-dataset:150177,10.17026/dans-274-a4w4
easy-dataset:113673,10.17026/dans-xng-asq2
easy-dataset:60607,10.17026/dans-x8q-46p7
easy-dataset:32903,10.17026/dans-xma-6sna
easy-dataset:48841,10.17026/dans-zde-ze5j
easy-dataset:48844,10.17026/dans-xcv-wsbv
easy-dataset:48842,10.17026/dans-ztp-b2kp
easy-dataset:52125,10.17026/dans-x7g-sjtw
easy-dataset:63263,10.17026/dans-xa4-scg2
easy-dataset:129123,10.17026/dans-24k-ydsj
easy-dataset:65839,10.17026/dans-zpa-9uwp
easy-dataset:48078,10.17026/dans-23u-3exj
easy-dataset:42781,10.17026/dans-xx4-qxa3
easy-dataset:46099,10.17026/dans-27e-r9y3
easy-dataset:51769,10.17026/dans-zrb-fg4d
easy-dataset:65008,10.17026/dans-x9d-k5f8
easy-dataset:57811,10.17026/dans-2bd-hpgy
easy-dataset:64252,10.17026/dans-zqu-5v9j
easy-dataset:16932,10.17026/dans-z6k-gxj6
easy-dataset:56125,10.17026/dans-zec-ncrh
easy-dataset:70373,10.17026/dans-xuv-e75j
easy-dataset:74573,10.17026/dans-z3q-ncss
easy-dataset:66936,10.17026/dans-xtj-tj75
easy-dataset:51624,10.17026/dans-zp3-pd7e
easy-dataset:7134,10.17026/dans-xhu-nt97
easy-dataset:28611,10.17026/dans-zty-avhf
easy-dataset:15596,10.17026/dans-xf8-9x4c
easy-dataset:31056,10.17026/dans-2xh-fmdx
easy-dataset:29596,10.17026/dans-xrd-2qqp
easy-dataset:31167,10.17026/dans-2xu-j5w5
easy-dataset:9470,10.17026/dans-x5y-3pk9
easy-dataset:48437,10.17026/dans-z6e-u7sy
easy-dataset:78448,10.17026/dans-xnm-rqed
easy-dataset:54426,10.17026/dans-xbr-ee8q
easy-dataset:69330,10.17026/dans-zc7-4ap3
easy-dataset:42712,10.17026/dans-xtz-vze6
easy-dataset:102415,10.17026/dans-2bc-d8xs
easy-dataset:19278,10.17026/dans-zs7-84n8
easy-dataset:44980,10.17026/dans-2ac-medp
easy-dataset:22939,10.17026/dans-z9r-xqt5
easy-dataset:54206,10.17026/dans-xt6-38ud
easy-dataset:46285,10.17026/dans-xtf-pqjk
easy-dataset:46106,10.17026/dans-zxd-cuka
easy-dataset:25790,10.17026/dans-zan-74v5
easy-dataset:54205,10.17026/dans-xer-qeh3
easy-dataset:48747,10.17026/dans-xra-3m8a
easy-dataset:52853,10.17026/dans-z7q-3era
easy-dataset:50157,10.17026/dans-xs5-9t2h
easy-dataset:30546,10.17026/dans-zpv-wbna
easy-dataset:37820,10.17026/dans-2aj-c2zw
easy-dataset:21524,10.17026/dans-z43-k285
easy-dataset:35041,10.17026/dans-xun-w63q
easy-dataset:58587,10.17026/dans-23e-fp2w
easy-dataset:50608,10.17026/dans-2x8-9x8d
easy-dataset:54704,10.17026/dans-x32-ygvr
easy-dataset:45838,10.17026/dans-2bp-jyea
easy-dataset:49069,10.17026/dans-zf5-e2yv
easy-dataset:29547,10.17026/dans-x74-7y6r
easy-dataset:38844,10.17026/dans-x5c-fqds
easy-dataset:53299,10.17026/dans-22t-7w4f
easy-dataset:42861,10.17026/dans-xxq-uxk5
easy-dataset:48157,10.17026/dans-28n-5amk
easy-dataset:133087,10.17026/dans-x9g-4vjm
easy-dataset:129768,10.17026/dans-z9c-sx6n
easy-dataset:130702,10.17026/dans-xjm-qwg4
easy-dataset:131619,10.17026/dans-22z-d9ak
easy-dataset:130498,10.17026/dans-xrz-cdxt
easy-dataset:133062,10.17026/dans-2bj-ftnt
easy-dataset:116719,10.17026/dans-zbh-sxrz
easy-dataset:112830,10.17026/dans-2a5-8hc4
easy-dataset:114316,10.17026/dans-xjg-4s7b
easy-dataset:114992,10.17026/dans-xad-z6r6
easy-dataset:74464,10.17026/dans-x8u-x6nd
easy-dataset:73886,10.17026/dans-2zs-7aaq
easy-dataset:36817,10.17026/dans-zz6-gbmy
easy-dataset:45837,10.17026/dans-23f-ffd9
easy-dataset:30487,10.17026/dans-x3f-nser
easy-dataset:36813,10.17026/dans-z78-etm6
easy-dataset:63492,10.17026/dans-x2k-jduz
easy-dataset:65482,10.17026/dans-2ax-cvde
easy-dataset:9808,10.17026/dans-x5m-k77u
easy-dataset:9796,10.17026/dans-zxz-4rzc
easy-dataset:51355,10.17026/dans-zca-exfq
easy-dataset:31178,10.17026/dans-2c8-tz88
easy-dataset:41116,10.17026/dans-xc2-pykn
easy-dataset:38198,10.17026/dans-xgv-yjys
easy-dataset:45121,10.17026/dans-25u-hxhd
easy-dataset:115767,10.17026/dans-xmq-uqn8
easy-dataset:153465,10.17026/dans-xt6-atvx
easy-dataset:76458,10.17026/dans-zsx-yzrt
easy-dataset:159447,10.17026/dans-xt5-bf6w
easy-dataset:58081,10.17026/dans-2xu-np69
easy-dataset:34094,10.17026/dans-x5y-pafs
easy-dataset:56932,10.17026/dans-zmj-3v3e
easy-dataset:56934,10.17026/dans-zwc-8xeh
easy-dataset:62376,10.17026/dans-xrx-gpk3
easy-dataset:64825,10.17026/dans-x2n-d3q9
easy-dataset:46315,10.17026/dans-zxt-hv97
easy-dataset:45740,10.17026/dans-zgc-stmm
easy-dataset:121466,10.17026/dans-x98-24fp
easy-dataset:48521,10.17026/dans-zq5-4j35
easy-dataset:31179,10.17026/dans-x3w-j7ra
easy-dataset:66365,10.17026/dans-xxu-6utq
easy-dataset:64624,10.17026/dans-zmp-jj2x
easy-dataset:65659,10.17026/dans-xrb-zere
easy-dataset:103898,10.17026/dans-z9u-vv3g
easy-dataset:127510,10.17026/dans-x6c-tr9e
